Nuclide,Element,Z,N,A,QB-,QB1n,QB2n,Half-Life,P1n,P2n,P1n-old,P2n-old,P1n-oldest,P2n-oldest,Q_{\beta^{-}},Q_{\beta^{-}n},Q_{\beta^{-}2n},Q_{\beta^{-}3n},Half-Life-old
137Te,Te,52,85,137,7052.5,2170,0,2.51,2.91,0,2.91,0,2.91(16),,7052.5(86),2170(14),,,2.51(5)
138Te,Te,52,86,138,6283.9,2589.0,0,1.4,4.82,0,4.82,0,4.82(23),,6283.9(71),2589.0(92),,,1.4(4)
139Te,Te,52,87,139,8265.9,3703.5,8.6,1.58,-1,0,-1,0,-1,,8265.9(53),3703.5(69),8.6(91),,1.58($^{+46}_{-19}$)
140Te,Te,52,88,140,7030,3823,0,0.350,-1,0,-1,0,obs.,,7030(64),3823(63),,,0.350(5)
141Te,Te,52,89,141,9440,5050,1840,-1,-1,-1,-1,-1,-1,-1,9440(400)\#,5050(400)\#,1840(400)\#,,-1
142Te,Te,52,90,142,8400,5490,1090,-1,-1,-1,-1,-1,-1,-1,8400(630)\#,5490(500)\#,1090(500)\#,,-1
143Te,Te,52,91,143,10350,6420,3510,-1,-1,-1,-1,-1,-1,-1,10350(540)\#,6420(630)\#,3510(500)\#,,-1
144Te,Te,52,92,144,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,,-1
145Te,Te,52,93,145,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,,-1
137I,7I,53,84,137,6027.1,2001.6,0,24.59,7.63,0,7.63,0,7.63(14),,6027.1(84),2001.6(84),,,24.59(10)
138I,8I,53,85,138,7992.3,2332.2,0,6.251,5.3,0,5.3,0,5.30(21),,7992.3(66),2332.2(60),,,6.251(31)
139I,9I,53,86,139,7173.6,3430.0,0,2.280,9.74,0,9.74,0,9.74(33),,7173.6(45),3430.0(49),,,2.280(11)
140I,0I,53,87,140,9380,3967,223,0.86,7.88,0.001,7.88,-1,7.88(43),-1,9380(12),3967(12),223(12),,0.86(4)
141I,1I,53,88,141,8271,4988,0,0.43,21.2,0,21.2,0,21.2(30),,8271(16),4988(16),,,0.43(2)
142I,2I,53,89,142,10460,5360,2070,$\sim$ 0.2,-1,-1,-1,-1,-1,-1,10460(370),5360(370),2070(370),,$\sim$ 0.2
143I,3I,53,90,143,9570,6530,1420,-1,-1,-1,-1,-1,-1,-1,9570(200)\#,6530(200)\#,1420(200)\#,,-1
144I,4I,53,91,144,11590,6850,3810,-1,-1,-1,-1,-1,-1,-1,11590(400)\#,6850(400)\#,3810(400)\#,,-1
145I,5I,53,92,145,10550,7860,3120,-1,-1,-1,-1,-1,-1,-1,10550(500)\#,7860(500)\#,3120(500)\#,80(500)\#,-1
146I,6I,53,93,146,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
147I,7I,53,94,147,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
141Xe,Xe,54,87,141,6280.2,781.5,0,1.728,0.001,0,0.0433,0,0.0433(27),,6280.2(96),781.5(87),,,1.728(13)
142Xe,Xe,54,88,142,5284.9,1176.6,0,1.221,0.36,0,0.36,0,0.36(7),,5284.9(76),1176.6(96),,,1.221(20)
143Xe,Xe,54,89,143,7472.6,2240.4,0,0.511,1,0,1,0,1.00(15),,7472.6(89),2240.4(85),,,0.511(6)
144Xe,Xe,54,90,144,6399,2731.9,0,0.388,3,0,3,0,3.0(3),,6399(21),2731.9(93),,,0.388(7)
145Xe,Xe,54,91,145,8561,3707,40,0.188,5,0.001,5,-1,5.0(6),-1,8561(14),3707(23),40(14),,0.188(4)
146Xe,Xe,54,92,146,7355,4028,0,0.146,6.9,0,6.9,0,6.9(15),,7355(24),4028(26),,,0.146(6)
147Xe,Xe,54,93,147,9560,4880,1550,0.10,8,-1,8,-1,<8,-1,9560(200)\#,4880(200)\#,1550(200)\#,,0.10($^{+10}_{-5}$)
148Xe,Xe,54,94,148,8310,5250,570,-1,-1,0.001,-1,-1,-1,-1,8310(300)\#,5250(300)\#,570(300)\#,,-1
149Xe,Xe,54,95,149,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,,-1
150Xe,Xe,54,96,150,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,,-1
141Cs,Cs,55,86,141,5255.1,721,0,24.91,0.001,0,0.0342,0,0.0342(14),,5255.1(96),721(12),,,24.91(6)
142Cs,Cs,55,87,142,7327.7,1146.8,0,1.687,0.0916,0,0.0916,0,0.0916(38),,7327.7(84),1146.8(88),,,1.687(14)
143Cs,Cs,55,88,143,6261.7,2095.4,0,1.795,1.582,0,1.582,0,1.582(25),,6261.7(97),2095.4(96),,,1.795(9)
144Cs,Cs,55,89,144,8496,2595,0,0.989,2.98,0,2.98,0,2.98(11),,8496(20),2595(21),,,0.989(5)
145Cs,Cs,55,90,145,7462,3641,0,0.581,13.5,0,13.5,0,13.5(6),,7462(12),3641(11),,,0.581(6)
146Cs,Cs,55,91,146,9637,4134.5,314.1,0.3217,14.3,0.001,14.3,-1,14.3(8),-1,9637(21),4134.5(90),314.1(77),,0.3217(11)
147Cs,Cs,55,92,147,8344,4956,0,0.2297,28.5,0,28.5,0,28.5(20),,8344(21),4956(22),,,0.2297(10)
148Cs,Cs,55,93,148,10683,5282,1894,0.151,29,-1,29,-1,29.0(45),-1,10683(64),5282(24),1894(25),,0.151(1)
149Cs,Cs,55,94,149,9870,6270,870,0.106,25,0.001,25,-1,25(4),-1,9870(590)\#,6270(410)\#,870(400)\#,,0.106(7)
150Cs,Cs,55,95,150,11730,6880,3280,0.081,20,-1,20,-1,20(10),-1,11730(500)\#,6880(590)\#,3280(400)\#,,0.081(3)
151Cs,Cs,55,96,151,10710,7600,2750,0.069,-1,-1,-1,-1,-1,-1,10710(640)\#,7600(580)\#,2750(660)\#,,0.069(26)
152Cs,Cs,55,97,152,12780,7940,4830,-1,-1,-1,-1,-1,-1,-1,12780(640)\#,7940(640)\#,4830(580)\#,-20(660)\#,-1
147Ba,Ba,56,91,147,6414,715,0,0.894,0.001,0,0.066,0,0.066(45),,6414(22),715(39),,,0.894(7)
148Ba,Ba,56,92,148,5115,1013,0,0.620,0.39,0,0.39,0,0.39(33),,5115(60),1013(64),,,0.620(22)
149Ba,Ba,56,93,149,7100,1520,0,0.352,2.2,0,2.2,0,2.2(17),,7100(480),1520(440),,,0.352(6)
150Ba,Ba,56,94,150,6230,2250,0,0.259,-1,0,-1,0,-1,,6230(530)\#,2250(360)\#,,,0.259(5)
151Ba,Ba,56,95,151,8370,3120,0,0.167,-1,0,-1,0,-1,,8370(590)\#,3120(590)\#,,,0.167(5)
152Ba,Ba,56,96,152,7580,3530,0,0.139,-1,0,-1,0,-1,,7580(500)\#,3530(590)\#,,,0.139(8)
153Ba,Ba,56,97,153,9590,4750,700,0.116,-1,0,-1,0,-1,,9590(500)\#,4750(500)\#,700(590)\#,,0.116(52)
154Ba,Ba,56,98,154,8710,5170,330,0.053,-1,0,-1,0,-1,,8710(580)\#,5170(580)\#,330(580)\#,,0.053(48)
147La,La,57,90,147,5336,886,0,4.073,0.001,0,0.043,0,0.043(4),,5336(14),886(20),,,4.073(23)
